Word1,Word2,Number of SMSs with co-occurences
16,7250i,4
16,7zs,1
16,8007,5
16,80155,1
16,8077,2
16,83383,1
16,84,1
16,84025,1
16,85023,7
16,85222,1
16,85555,1
16,86021,4
16,86888,2
16,87021,2
16,87077,2
16,87131,2
16,87575,4
16,88600,1
16,8883,1
16,88888,1
16,ag,2
16,apply,5
16,auction,5
16,ave,2
16,await,3
16,award,3
16,awarded,2
16,babe,1
16,bcm4284,2
16,bored,1
16,box,4
16,box139,1
16,box177,2
16,call,13
16,calls,2
16,camera,5
16,canary,2
16,cash,5
16,celeb,1
16,chance,6
16,chances,2
16,chat,1
16,chat80155,1
16,chatter,1
16,chitchat,1
16,claim,10
16,classic,1
16,close,4
16,club,1
16,cm,1
16,collection,3
16,congrats,2
16,cost,6
16,credits,1
16,cs,10
16,csh11,2
16,dating,1
16,delivery,2
16,digital,3
16,discount,7
16,dont,2
16,eg,1
16,em,1
16,end,1
16,england,1
16,enjoy,1
16,etc,1
16,every,13
16,final,2
16,find,1
16,first,1
16,free,23
16,freemsg,2
16,friends,4
16,gbp150week,1
16,get,22
16,goalsteam,1
16,gr8,2
16,heart,1
16,help,3
16,hgsuite3422lands,4
16,hit,1
16,hl,6
16,holiday,3
16,hours,2
16,inc,2
16,info,2
16,inforingtonekingcouk,1
16,islands,2
16,jamster,1
16,join,1
16,jordan,1
16,la32wu,1
16,landline,5
16,last,3
16,laugh,1
16,ldn,2
16,life,1
16,like,1
16,lines,2
16,logon,1
16,london,1
16,love,1
16,luxury,2
16,m221bp,2
16,m227xy,2
16,m26,1
16,m263uz,4
16,macedonia,1
16,mates,8
16,member,4
16,messagestext,1
16,miss,1
16,mob,9
16,mobile,11
16,mobiles,2
16,msg,1
16,msgs,1
16,must,1
16,national,1
16,need,2
16,new,1
16,news,1
16,no1,7
16,nok,2
16,nokia,17
16,nokia150p,1
16,norm,1
16,norm150ptone,6
16,nowsavamobmember,1
16,nowtcs,1
16,nowuse,1
16,nr31,1
16,offer,2
16,offers,7
16,ok,1
16,opt,1
16,p,2
16,p399,2
16,part,5
16,per,1
16,phone,5
16,pic,1
16,pics,1
16,play,1
16,please,3
16,plus,1
16,po,4
16,pobox,7
16,pobox11414tcrw1,1
16,pobox202,1
16,pobox36504w45wq,1
16,pobox84,4
16,poboxox36504w45wq,1
16,pocketbabecouk,1
16,poly,2
16,poly200p,1
16,polyphonic,3
16,polys,1
16,post,2
16,pound,1
16,pounds,2
16,pro,1
16,promo,2
16,pt2,2
16,quiz,1
16,rcd,1
16,rcvd,1
16,receive,2
16,redeemable,1
16,remove,2
16,reply,9
16,reward,2
16,ringtone,3
16,roww1jhl,4
16,rtking,1
16,sae,3
16,savamob,6
16,scotland,1
16,selected,2
16,send,9
16,sex,1
16,sexy,1
16,shop,2
16,sipix,2
16,six,2
16,smart,1
16,sms,2
16,sn,1
16,specially,2
16,speed,1
16,speedchat,1
16,stop,4
16,stoptxtstop,2
16,str8,1
16,sub,5
16,subs,2
16,subscribe6gbpmnth,2
16,subscription,1
16,super,1
16,swap,1
16,take,5
16,talk,2
16,tarot,1
16,tc,2
16,tcs,4
16,team,1
16,tell,11
16,text,12
16,texts,1
16,think,1
16,time,2
16,today,4
16,todays,2
16,tone,14
16,tones,3
16,top,1
16,true,1
16,try,3
16,trywales,1
16,tsandcs,2
16,txt,20
16,txt250com,1
16,txtin,4
16,txting,8
16,txtx,1
16,u,2
16,unsub,2
16,ur,23
16,urgent,3
16,use,2
16,v,1
16,vary,2
16,video,3
16,vouchers,6
16,voucherstext,1
16,w1a,1
16,w4,1
16,w45wq,6
16,wallpaper,1
16,wanna,1
16,warranty,2
16,wc1n3xx,2
16,web2mobile,1
16,week,14
16,weekly,1
16,win,8
16,winnersclub,1
16,within,2
16,wk,3
16,won,5
16,word,1
16,worth,7
16,wwwgambtv,1
16,wwwgetzedcouk,6
16,wwwringtonekingcouk,1
16,x,3
16,yes,5
16,zed,1
169,5000,2
169,6031,2
169,call,2
169,cash,2
169,customer,2
169,guaranteed,2
169,please,2
169,prize,2
169,representative,2
169,service,2
169,won,2
16only,2,1
16only,3,1
16only,6,1
16only,88888,1
16only,apply,1
16only,call,1
16only,club,1
16only,crazy,1
16only,credits,1
16only,enjoy,1
16only,freemessage,1
16only,frog,1
16only,fun,1
16only,gbpweek,1
16only,get,1
16only,gold,1
16only,help,1
16only,jamster,1
16only,jamstercouk,1
16only,jamsterget,1
16only,logosmusicnews,1
16only,mad1,1
16only,mad2,1
16only,new,1
16only,poly,1
16only,real,1
16only,sound,1
16only,sounds,1
16only,tcs,1
16only,text,1
16only,videosound,1
16only,videosounds2,1
177,4,2
177,5000,2
177,await,2
177,box,2
177,call,2
177,canary,1
177,cash,2
177,collection,2
177,cs,1
177,holiday,2
177,islands,1
177,landline,2
177,luxury,1
177,m227xy,2
177,please,2
177,po,2
177,sae,2
177,tcs,1
177,urgent,2
18,1da,1
18,1er,1
18,1yf,1
18,2,8
18,20,1
18,200,2
18,25,1
18,250,4
18,2ez,1
18,2px,1
18,3,1
18,32000,1
18,373,2
18,4,9
18,434,3
18,47,1
18,4jx,1
18,528,1
18,6hl,2
18,8007,1
18,80086,2
18,80182,3
18,83222,2
18,84128,1
18,86688,4
18,88222,2
18,88877,1
18,88877free,1
18,89105,1
18,89555,3
18,8wp,3
18,abta,1
18,adult,1
18,age,2
18,ages,1
18,alert,1
18,another,2
18,aom,1
18,apply,4
18,area,1
18,attempt,1
18,auction,1
18,ave,1
18,await,6
18,award,3
18,b4280703,2
18,back,2
18,banneduk,1
18,bedroom,1
18,big,1
18,bloke,1
18,bored,1
18,box,7
18,box61m60,1
18,brother,1
18,bt,1
18,busy,2
18,call,17
18,calls,1
18,care,1
18,cash,9
18,cashto,2
18,cast,1
18,chance,3
18,chat,4
18,chatting,1
18,claim,7
18,club,1
18,collect,1
18,collection,6
18,comp,6
18,competition,3
18,complementary,1
18,complimentary,5
18,computer,1
18,congratulations,2
18,contact,1
18,content,1
18,cost,2
18,costs,1
18,cro1327,1
18,cs,1
18,cust,1
18,customer,2
18,customercare,1
18,daily,2
18,date,2
18,datebox1282essexcm61xn,2
18,dates,1
18,days,2
18,dear,1
18,details,3
18,dogging,1
18,dont,5
18,draw,2
18,efreefone,1
18,eg,2
18,enter,2
18,entry,7
18,euro,2
18,euro2004,2
18,even,4
18,extra,1
18,fancies,2
18,films,1
18,final,1
18,find,6
18,flights,2
18,flirt,1
18,flirting,1
18,fones,1
18,forwarded,1
18,free,11
18,freemsg,1
18,g2,1
18,g696ga,2
18,gbp5month,1
18,get,7
18,getstop,2
18,getting,1
18,girl,1
18,give,2
18,go,3
18,got,1
18,guaranteed,3
18,guess,2
18,hey,1
18,hgsuite3422landsroww1j6hl,3
18,hi,1
18,hol,1
18,holiday,8
18,hottest,1
18,hp20,1
18,hurry,1
18,ibiza,3
18,ill,1
18,im,2
18,improved,1
18,inc,2
18,informed,2
18,invited,1
18,ipod,3
18,join,2
18,kept,2
18,kickoff,2
18,know,5
18,landline,8
18,lapdancer,1
18,latest,2
18,ldn,4
18,legitimat,1
18,lets,3
18,live,3
18,local,1
18,london,2
18,lots,1
18,love,1
18,ltd,2
18,maybe,1
18,meet,1
18,message,1
18,messagethanks,1
18,mins,1
18,mob,1
18,mobile,1
18,mobiles,1
18,movie,1
18,msg,1
18,msgs150p,1
18,name,2
18,new,2
18,news,2
18,ntt,1
18,number,1
18,offer,1
18,old,1
18,operator,2
18,ordered,1
18,pence,1
18,people,1
18,phone,1
18,php,2
18,pics,2
18,player,1
18,please,3
18,po,5
18,po19,1
18,pod,3
18,polo,2
18,ppm,2
18,prize,4
18,provided,1
18,r,1
18,rate,3
18,rcvd,3
18,recdthirtyeight,1
18,receive,2
18,ree,1
18,registered,1
18,reply,4
18,replys150,1
18,results,2
18,rg21,1
18,sae,6
18,sam,1
18,secretly,2
18,see,2
18,selected,3
18,send,9
18,sender,1
18,service,3
18,sex,2
18,sexy,1
18,shortly,1
18,sk3,3
18,skip,1
18,sms,2
18,somebody,2
18,someone,1
18,spanish,1
18,speak,2
18,specially,2
18,start,1
18,std,3
18,stop,7
18,stop2stop,1
18,straight,1
18,subscription,1
18,sue,1
18,suite,2
18,tc,6
18,tcs,9
18,tcsstop,2
18,tenerife,2
18,text,6
18,textoperator,3
18,think,1
18,today,1
18,ts,1
18,txt,8
18,u,15
18,unsubscribe,4
18,ur,5
18,urgent,6
18,us,2
18,use,1
18,using,1
18,uve,1
18,vary,2
18,video,2
18,videopic,1
18,voucher,1
18,w1j,2
18,wa14,1
18,wanna,2
18,wanting,1
18,wat,1
18,weekly,7
18,weeks,2
18,welcome,1
18,wet,1
18,wild,1
18,win,5
18,winner,2
18,won,5
18,word,4
18,work,2
18,wwwflirtpartyus,1
18,wwwtcbiz,2
18,wwwtextcompcom,2
18,wwwtxttowincouk,2
18,xchat,1
18,xx,1
18,xxx,3
18,years,4
18,yrs,2
18,zoe,1
181104,2003,1
181104,41782,1
181104,800,1
181104,account,1
181104,call,1
181104,code,1
181104,expires,1
181104,identifier,1
181104,points,1
181104,private,1
181104,shows,1
181104,sim,1
181104,statement,1
181104,unredeemed,1
186150morefrmmob,3aj,2
186150morefrmmob,87121,2
186150morefrmmob,acoentry41,2
186150morefrmmob,awarded,2
186150morefrmmob,claim,2
186150morefrmmob,complimentary,2
186150morefrmmob,dis,2
186150morefrmmob,eurodisinc,2
186150morefrmmob,ls1,2
186150morefrmmob,shracomorsglsuplt10,2
186150morefrmmob,trav,2
186150morefrmmob,trip,2
186150morefrmmob,txt,2
186150morefrmmob,ur,2
186150morefrmmob,urgent,2
18only,2,2
18only,bahamas,2
18only,callfreefone,2
18only,cash,2
18only,claim,2
18only,club,1
18only,cruise,2
18only,dogging,1
18only,either,2
18only,free,1
18only,going,2
18only,improved,1
18only,live,2
18only,message,1
18only,msgs150p,1
18only,new,1
18only,of2000,2
18only,operator,2
18only,opt,2
18only,reply,1
18only,service,1
18only,sex,1
18only,speak,2
18only,stop,1
18only,txt,2
18only,unsubscribe,1
18only,ur,2
18only,welcome,1
18only,x,2
18ptxt,amazing,2
18ptxt,believe,2
18ptxt,blow,2
18ptxt,g,2
18ptxt,incredible,2
18ptxt,learn,2
18ptxt,mind,2
18ptxt,o2fwd,2
18ptxt,reply,2
18ptxt,things,2
18ptxt,true,2
18ptxt,truly,2
18ptxt,txts,2
18ptxt,wont,2
18yrs,2,1
18yrs,2nights,1
18yrs,86688,3
18yrs,attempt,2
18yrs,chat,3
18yrs,contact,2
18yrs,dear,2
18yrs,final,2
18yrs,hi,1
18yrs,invited,3
18yrs,ldn,3
18yrs,lucky,1
18yrs,night,1
18yrs,txt,3
18yrs,u,2
18yrs,uks,1
18yrs,ur,1
18yrs,uve,3
18yrs,wildest,1
18yrs,xchat,3
195,6669,1
195,back,1
195,call,1
195,cant,1
195,credit,1
195,free,1
195,get,1
195,help,1
195,loan,1
195,refused,1
195,secured,1
195,text,1
195,unsecured,1
1956669,500,3
1956669,75000,3
1956669,back,3
1956669,call,3
1956669,free,3
1956669,help,3
1956669,homeowners,3
1956669,loan,3
1956669,previously,3
1956669,purpose,3
1956669,refused,3
1956669,still,3
1956669,tenants,3
1956669,text,3
1956669,welcome,3
1da,20,1
1da,89555,1
1da,bedroom,1
1da,g2,1
1da,hi,1
1da,im,1
1da,lapdancer,1
1da,live,1
1da,love,1
1da,old,1
1da,sex,1
1da,sue,1
1da,text,1
1da,textoperator,1
1da,work,1
1da,years,1
1er,ages,1
1er,aom,1
1er,box61m60,1
1er,call,1
1er,calls,1
1er,cast,1
1er,gbp5month,1
1er,mins,1
1er,mob,1
1er,provided,1
1er,service,1
1er,stop,1
1er,u,1
1er,ur,1
1er,use,1
1er,vary,1
1mcflyall,2,1
1mcflyall,3,1
1mcflyall,ab,1
1mcflyall,follow,1
1mcflyall,include,1
1mcflyall,instructions,1
1mcflyall,jorgeshock,1
1mcflyall,message,1
1mcflyall,new,1
1mcflyall,next,1
1mcflyall,order,1
1mcflyall,sara,1
1mcflyall,smithswitch,1
1mcflyall,tones,1
1mcflyall,week,1
1million,2,1
1million,88600,1
1million,away,1
1million,box403,1
1million,claim,1
1million,give,1
1million,lucky,1
1million,money,1
1million,ppt150x3normal,1
1million,prize,1
1million,r,1
1million,rate,1
1million,text,1
1million,w1t1jy,1
1million,winner,1
1minmobsmorelkpobox177hp51fl,2,1
1minmobsmorelkpobox177hp51fl,2morro,1
1minmobsmorelkpobox177hp51fl,2nite,1
1minmobsmorelkpobox177hp51fl,4,1
1minmobsmorelkpobox177hp51fl,b4,1
1minmobsmorelkpobox177hp51fl,back,1
1minmobsmorelkpobox177hp51fl,c,1
1minmobsmorelkpobox177hp51fl,calls,1
1minmobsmorelkpobox177hp51fl,chat,1
1minmobsmorelkpobox177hp51fl,dena,1
1minmobsmorelkpobox177hp51fl,go,1
1minmobsmorelkpobox177hp51fl,half,1
1minmobsmorelkpobox177hp51fl,luv,1
1minmobsmorelkpobox177hp51fl,passion,1
1minmobsmorelkpobox177hp51fl,sexy,1
1minmobsmorelkpobox177hp51fl,term,1
1minmobsmorelkpobox177hp51fl,u,1
1minmobsmorelkpobox177hp51fl,work,1
1month,68866,1
1month,activate,1
1month,call,1
1month,calls,1
1month,free,1
1month,freemsg,1
1month,help,1
1month,landlineonly,1
1month,smartcall,1
1month,stop,1
1month,stoptxt,1
1month,subscriptn3gbpwk,1
1month,txt,1
1month,unlimited,1
1st,2,8
1st,20,1
1st,250,3
1st,2814032,1
1st,3,1
1st,30pptxt,2
1st,36504,7
1st,3wk,1
1st,3x150pw,1
1st,4,15
1st,40gb,2
1st,4info,4
1st,5,1
1st,5free,2
1st,5wq,1
1st,6,1
1st,6986618,2
1st,8007,5
1st,8077,2
1st,81303,1
1st,816183,2
1st,84128,1
1st,84128custcare,1
1st,87021,2
1st,87077,1
1st,87131,1
1st,87575,2
1st,activ8,1
1st,age23,2
1st,airport,1
1st,arcade,1
1st,babygoodbye,1
1st,blonde,2
1st,booking,1
1st,burger,1
1st,call,1
1st,cash,2
1st,chance,2
1st,charged150pmsg2,1
1st,claim,1
1st,class,1
1st,classic,1
1st,cocacola,1
1st,comp,1
1st,custcare,2
1st,dear,1
1st,dontcha,1
1st,eg,1
1st,end,1
1st,entry,2
1st,every,14
1st,first,1
1st,follows,1
1st,footy,1
1st,free,21
1st,freeringtone,1
1st,freesend,2
1st,friends,4
1st,fun,2
1st,game,1
1st,games,1
1st,get,15
1st,go,1
1st,golddigger,1
1st,golf,1
1st,gr8,2
1st,guys,2
1st,help,1
1st,help08718728876,2
1st,hit,1
1st,hl,4
1st,holder,1
1st,holiday,1
1st,increments,2
1st,ipod,2
1st,join,1
1st,key,1
1st,king,1
1st,large,1
1st,like,2
1st,look,2
1st,lounge,1
1st,mates,7
1st,mila,2
1st,mob,9
1st,mobile,2
1st,msg,1
1st,mtalk,2
1st,new,2
1st,no1,7
1st,nok,2
1st,nokia,10
1st,nokia150p,1
1st,norm,1
1st,norm150ptone,6
1st,o2,1
1st,opt,1
1st,passes,1
1st,per,3
1st,phone,1
1st,play,1
1st,pobox,7
1st,pod,1
1st,poly,2
1st,poly200p,1
1st,polyphonic,2
1st,polys,1
1st,post,1
1st,press,1
1st,pt2,2
1st,pushbutton,1
1st,question,1
1st,quote,1
1st,r,1
1st,rayman,1
1st,real,1
1st,real1,1
1st,reply,7
1st,ringtone,4
1st,ringtoneget,2
1st,save,1
1st,send,1
1st,sept,1
1st,settings,1
1st,sex,2
1st,sms08718727870,2
1st,stadium,1
1st,stop,3
1st,str8,1
1st,sub,2
1st,subpoly,2
1st,subscribed,1
1st,subsequent,1
1st,super,1
1st,tell,11
1st,termsapply,1
1st,text,3
1st,textcomp,1
1st,textpod,2
1st,tone,14
1st,tones,3
1st,top,4
1st,true,1
1st,tscs,2
1st,txt,16
1st,txtin,4
1st,txting,7
1st,u,5
1st,uk,2
1st,unsubscribe,1
1st,ur,13
1st,using,1
1st,voucher,1
1st,vpod,1
1st,w4,1
1st,w45wq,6
1st,walk,1
1st,wanna,1
1st,webeburnin,1
1st,week,16
1st,weekly,2
1st,weekstop,2
1st,win,2
1st,winner,1
1st,wk,4
1st,wkly,1
1st,wks,1
1st,wwwgetzedcouk,6
1st,wwwtextpodnet,2
1st,x,1
1st,zed,1
1st4terms,2,1
1st4terms,3uz,1
1st4terms,4,1
1st4terms,50,1
1st4terms,9061100010,1
1st4terms,activate,1
1st4terms,c,1
1st4terms,call,1
1st4terms,calls,1
1st4terms,charge,1
1st4terms,cost,1
1st4terms,get,1
1st4terms,m26,1
1st4terms,min,1
1st4terms,mobcudb,1
1st4terms,month,1
1st4terms,network,1
1st4terms,next,1
1st4terms,pobox84,1
1st4terms,standard,1
1st4terms,upto,1
1st4terms,ur,1
1st4terms,wire3net,1
1stchoicecouk,call,1
1stchoicecouk,dont,1
1stchoicecouk,forget,1
1stchoicecouk,free,1
1stchoicecouk,information,1
1stchoicecouk,many,1
1stchoicecouk,place,1
1stchoicecouk,requests,1
1stchoicecouk,wish,1
1unbreakable,2untamed,2
1unbreakable,3,2
1unbreakable,3unkempt,2
1unbreakable,4,2
1unbreakable,50p,2
1unbreakable,83049,2
1unbreakable,cost,2
1unbreakable,currently,2
1unbreakable,m8,2
1unbreakable,meetgreet,2
1unbreakable,std,2
1unbreakable,text,2
1unbreakable,tour,2
1unbreakable,u,2
1unbreakable,wan2,2
1unbreakable,westlife,2
1unbreakable,win,2
1winaweek,87066,2
1winaweek,age16,2
1winaweek,draw,2
1winaweek,every,2
1winaweek,gift,2
1winaweek,music,2
1winaweek,skillgame,2
1winaweek,starting,2
1winaweek,tscs,2
1winaweek,txt,2
1winaweek,u,2
1winaweek,vouchers,2
1winaweek,week,2
1winaweek,win,2
1winaweek,word,2
1winaweek,wwwidewcom,2
1winawk,2,1
1winawk,200,1
1winawk,88039,1
1winawk,age16,1
1winawk,every,1
1winawk,play,1
1winawk,shopping,1
1winawk,skilgme,1
1winawk,spree,1
1winawk,starting,1
1winawk,store,1
1winawk,text,1
1winawk,tscs08714740323,1
1winawk,week,1
1winawk,win,1
1x150pwk,250,5
1x150pwk,80608,2
1x150pwk,80878,2
1x150pwk,83370,1
1x150pwk,action,2
1x150pwk,cash,3
1x150pwk,chance,5
1x150pwk,custcare,5
1x150pwk,every,3
1x150pwk,play,1
1x150pwk,shop,2
1x150pwk,shopping,2
1x150pwk,spree,2
1x150pwk,tscs,5
1x150pwk,txt,5
1x150pwk,ur,5
1x150pwk,win,5
1x150pwk,wk,3
1x150pwk,wkly,2
1x150pwk,wwwmovietriviatv,2
1x150pwk,wwwmusictrivianet,1
1x150pwk,wwwtxt2shopcom,2
1yf,4,1
1yf,528,1
1yf,await,1
1yf,box,1
1yf,call,1
1yf,cash,1
1yf,collection,1
1yf,complimentary,1
1yf,holiday,1
1yf,hp20,1
1yf,landline,1
1yf,sae,1
1yf,tcs,1
1yf,tenerife,1
1yf,urgent,1
2,20,1
2,200,3
2,2000,3
2,2005,2
2,21st,2
2,24,1
2,24hrs,1
2,25,1
2,250,5
2,25p,6
2,27603,1
2,285,1
2,2day,1
2,2exit,1
2,2moro,1
2,2morow,1
2,2morro,1
2,2nd,5
2,2nights,1
2,2nite,2
2,2rcv,1
2,3,7
2,300,1
2,31pmsg150p,2
2,3g,5
2,3gbp,4
2,3uz,2
2,3wk,1
2,4,35
2,400,1
2,40gb,2
2,447801259231,2
2,4fil,1
2,4jx,1
2,4txt120p,1
2,4u,1
2,5,2
2,50,1
2,500,10
2,5000,3
2,50p,1
2,5p,1
2,5we,4
2,6,4
2,61200,2
2,62735450,1
2,69200,1
2,69855,1
2,69888,1
2,69888nyt,1
2,69911150p,1
2,69969,1
2,6wu,2
2,7,2
2,7250,2
2,731,1
2,74355,1
2,750,4
2,78,1
2,79,1
2,7ws,1
2,8,1
2,80062,1
2,8007,5
2,80082,1
2,80160,1
2,80182,3
2,80s,1
2,81303,1
2,82242,1
2,83039,1
2,83600,1
2,84025,3
2,84128,1
2,84128custcare,1
2,85023,1
2,86021,2
2,86688,1
2,87066,8
2,87077,2
2,87121,2
2,88039,1
2,88222,2
2,88600,1
2,89693,2
2,89938,1
2,9061100010,1
2,ab,1
2,access,1
2,accident,1
2,accommodationvouchers,1
2,acsmsrewards,1
2,action,2
2,activate,1
2,adam,2
2,admirer,8
2,ads,2
2,age16,1
2,airport,1
2,akonlonely,1
2,alerts,1
2,alfie,3
2,alone,2
2,answer,1
2,apply,11
2,apply2,1
2,arcade,2
2,area,4
2,aries,1
2,arsenal,1
2,asked,5
2,attempt,1
2,auction,3
2,ave,1
2,awaiting,3
2,award,2
2,awarded,9
2,away,2
2,b,3
2,b4,1
2,babe,1
2,babygoodbye,1
2,back,1
2,bahamas,2
2,balance,1
2,bangb,1
2,bangbabes,1
2,bcmsfwc1n3xx,1
2,bears,2
2,bergkamp,1
2,best,4
2,bid,1
2,black,1
2,blu,1
2,boltblue,1
2,bonus,1
2,book,1
2,booking,1
2,borin,1
2,box139,1
2,box385,2
2,box403,1
2,boys,1
2,brand,2
2,break,1
2,bt,1
2,btnationalrate,8
2,buddys,1
2,buffy,1
2,burger,1
2,busty,1
2,buy,2
2,bx420,4
2,bx420ip45we,3
2,c,10
2,call,36
2,caller,1
2,callfreefone,2
2,calling,1
2,calls,2
2,calls1minmobsmore,1
2,calls1minmobsmorelkpobox177hp51fl,1
2,calls1minmoremobsemspobox45po139wa,2
2,cam,1
2,cancel,2
2,cant,4
2,career,1
2,careful,2
2,carlie,1
2,cash,9
2,cashto,2
2,cd,8
2,cds,2
2,cha,1
2,chance,11
2,charge,3
2,charged150pmsg2,1
2,charity,3
2,chat,10
2,children,3
2,choose,1
2,chrgd50p,1
2,cinema,3
2,claim,26
2,claire,1
2,class,1
2,classic,1
2,club,5
2,cmon,1
2,cnl,1
2,cocacola,1
2,cock,1
2,come,1
2,comp,6
2,company,1
2,compare,2
2,compensation,1
2,concert,1
2,conditions,1
2,congrats,8
2,congratulations,10
2,console,2
2,contact,19
2,content,1
2,coolmob,1
2,cost,3
2,cost375max,1
2,could,1
2,crazy,1
2,credit,1
2,credits,1
2,cruise,2
2,cs,1
2,cum,3
2,cup,2
2,custcare,2
2,customercare,1
2,cute,1
2,d,2
2,date,1
2,dating,5
2,day,5
2,daytime,1
2,dear,3
2,deck,1
2,dena,1
2,details,6
2,dick,1
2,dining,1
2,direct,4
2,discount,1
2,discreet,1
2,dload,5
2,dogging,2
2,dont,6
2,dontcha,1
2,dot,2
2,download,3
2,draw,8
2,dream,1
2,dvd,1
2,e,3
2,eastenders,2
2,easy,8
2,ec2a,2
2,eg,4
2,either,6
2,end,3
2,energy,2
2,england,2
2,enjoy,2
2,enter,2
2,entitled,1
2,entry,14
2,etc,4
2,eve,2
2,even,3
2,every,5
2,experiencehttpwwwvouch4mecometlpdiningasp,1
2,expired,1
2,eyeddont,1
2,f,3
2,fa,2
2,fact,1
2,fancy,1
2,fans,1
2,fantastic,4
2,fantasy,1
2,fastest,1
2,feeling,1
2,final,3
2,finally,1
2,find,4
2,fink,1
2,flights,5
2,flirt,1
2,floppy,1
2,flower,2
2,flyng,1
2,follow,1
2,followed,1
2,following,1
2,follows,1
2,fone,2
2,footy,1
2,free,37
2,freeentry,1
2,freemsg,2
2,freemsgfeelin,1
2,freeringtone,1
2,friend,3
2,frogaxel,1
2,fun,4
2,funk,2
2,g,1
2,game,3
2,games,7
2,gay,2
2,gaytextbuddycom,2
2,get,17
2,getstop,2
2,gift,6
2,gigolo,1
2,girl,1
2,girls,1
2,give,2
2,go,6
2,goal,1
2,going,2
2,gold,1
2,golddigger,1
2,good,5
2,got,3
2,goto,1
2,gr8,3
2,gravel,1
2,great,1
2,growing,1
2,gsoh,1
2,guaranteed,7
2,guess,4
2,guys,2
2,half,1
2,happy,1
2,hardcore,1
2,havin,1
2,heart,2
2,help,1
2,help08700621170150p,1
2,help08714742804,1
2,henry,1
2,hey,2
2,hgsuite3422lands,1
2,hi,2
2,hit,1
2,hlp,1
2,holder,3
2,holiday,5
2,home,1
2,hope,2
2,horny,3
2,horo,1
2,hot,2
2,house,1
2,however,1
2,hrs,1
2,httpwwwetlpcoukexpressoffer,1
2,httpwwwurawinnercom,3
2,hubbys,1
2,im,3
2,important,3
2,inc,5
2,include,2
2,indicate,1
2,info,2
2,information,3
2,instantly,1
2,instructions,1
2,internetservice,1
2,invaders,2
2,invited,1
2,ip4,4
2,ipod,5
2,iscoming,2
2,itcould,2
2,jamster,1
2,jamstercouk,1
2,jamz,1
2,jane,1
2,janinexx,1
2,java,5
2,jocks,1
2,join,8
2,joined,2
2,jorgeshock,1
2,jst,1
2,june,1
2,keep,2
2,kinda,1
2,king,2
2,know,4
2,la1,1
2,la32wu,1
2,ladies,1
2,ladiesu,1
2,laid,2
2,large,1
2,largest,2
2,last,1
2,latest,1
2,ldn,1
2,le,2
2,leave,1
2,like,2
2,lily,2
2,link,1
2,lionm,2
2,lionp,2
2,lions,2
2,live,6
2,liverpool,1
2,lkpobox177hp51fl,1
2,lnly,1
2,local,2
2,locations,2
2,log,3
2,logo,2
2,logosmusicnews,1
2,lookin,1
2,looking,9
2,lord,1
2,lotr,1
2,lounge,1
2,love,3
2,lover,2
2,ls15hb,1
2,luck,1
2,lucky,5
2,lucozade,2
2,lucozadecoukwrc,2
2,luv,3
2,m,1
2,m26,2
2,m6,2
2,m8s,3
2,make,9
2,male,1
2,man,1
2,many,2
2,margin,1
2,married,2
2,match,1
2,matched,1
2,matches,1
2,mates,6
2,matrix3,3
2,may,2
2,maybe,1
2,meal,1
2,meet,2
2,men,1
2,mens,1
2,menu,1
2,message,2
2,messagestext,1
2,messagethanks,1
2,met,1
2,min,4
2,mins,1
2,minute,5
2,miss,4
2,mjzgroup,1
2,moan,1
2,mob,5
2,mobcudb,1
2,mobile,13
2,mobno,2
2,moby,1
2,money,1
2,mono,3
2,monoc,1
2,monos,1
2,month,1
2,moons,3
2,msg,9
2,msg150p,1
2,msg150rcvd,1
2,msgs,1
2,music,13
2,mustprovide,1
2,n,5
2,name,3
2,name1,2
2,name2,2
2,names,2
2,need,6
2,network,7
2,new,10
2,news,1
2,next,6
2,ngage,1
2,nichols,1
2,nick,1
2,night,1
2,nights,1
2,nokia,4
2,nokia150p,1
2,nokias,3
2,noline,5
2,norm,1
2,notifications,1
2,november,1
2,now1,1
2,nowreply,1
2,nowsavamobmember,1
2,nowuse,1
2,nt,1
2,number,1
2,o2,3
2,o2coukgames,2
2,of2000,2
2,offer,1
2,offers,2
2,ok,1
2,oncall,1
2,one,2
2,onto,3
2,operator,10
2,opt,3
2,optout,1
2,order,2
2,orig,2
2,original,4
2,otbox,1
2,outbid,1
2,oz,2
2,p,1
2,packs,2
2,paris,1
2,parisfree,1
2,part,5
2,partner,1
2,pass,4
2,passes,1
2,passion,1
2,pc,2
2,per,12
2,personal,2
2,pete,1
2,phone,4
2,photo,2
2,php,2
2,pic,1
2,pics,1
2,pictxt,1
2,pix,1
2,play,7
2,please,1
2,pls,1
2,plus,1
2,plyr,1
2,po,2
2,pobox,2
2,pobox36504w45wq,2
2,pobox84,2
2,pod,4
2,poly,7
2,poly200p,1
2,poly3,1
2,polyc,1
2,polyh,2
2,polyph,3
2,polys,5
2,porn,3
2,postcode,3
2,pound,4
2,pounds,2
2,ppt150x3normal,1
2,press,2
2,prize,12
2,profit,3
2,promised,1
2,prompts,2
2,purchase,2
2,pushbutton,1
2,qlynnbv,1
2,question,2
2,questionstd,2
2,quiz,2
2,quote,1
2,r,11
2,rally,2
2,randy,1
2,rate,5
2,rates,4
2,ratetcs,2
2,ready,3
2,real,5
2,real1,1
2,rec,1
2,recd,1
2,receive,9
